ID,Hour_of_Day,Days since last checkin,Check Ins,Contacts Created,Images Uploaded,Notes Written,Checkin_w_images,Checkin_w_Contact,Checkin_w_Note,Checkin_w_I_C,Checkin_w_C_N,Checkin_w_I_N,Checkin_w_All,Distance,FundraisingYear,day of week,day of month,% of Campaign,Campaign Day Funds,Past 1-3 avg,Past 3-6 avg,Future 0-3 avg,Change in past week,Running average,last week change from running,Percentile of Running,Percentile of Running by Market,Percentile of Past 1-3,Percentile of Past 1-3 by Market,Percentile of Past 3-6,Percentile of Past 3-6 by Market,Percentile of Past Week Change,Percentile of Past Week Change by market
30701-5-27-2017,6,8,1,0,2,0,1,0,0,0,0,0,0,12950.1096,2017,7,27,0.870967742,,406.6666667,355.6666667,,0.14339269,465.3461538,-0.126098576,0,0,0,0,0,0,0,0
30701-5-28-2017,6,9,1,0,2,0,1,0,0,0,0,0,0,12950.1096,2017,1,28,0.903225806,,448,368.3333333,,0.216289593,458.1851852,-0.022229407,0.685,0.397,0.635,0.4,0.733,0.6,0.035,0.4
30701-5-30-2017,6,11,1,0,2,0,1,0,0,0,0,0,0,12950.1096,2017,3,30,0.967741935,,101.6666667,406.6666667,,-0.75,427.7241379,-0.762307858,0,0,0,0,0,0,0,0
30701-5-31-2017,6,12,1,0,2,0,1,0,0,0,0,0,0,12950.1096,2017,4,31,1,,268.3333333,448,,-0.401041667,439.2,-0.38904068,0.561,0,0.635,0,0,0,0,0
30701-5-8-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,12950.1096,2018,3,8,0.258064516,,0,0,,0,0,0,0.607,0.019,0.601,0,0.596,0,0.839,0.6
30701-5-9-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,12950.1096,2018,4,9,0.290322581,,882,0,,0,330.75,1.666666667,0,0,0,0,0,0,0,0
30701-5-10-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,12950.1096,2018,5,10,0.322580645,,1441.666667,0,,0,480.5555556,2,0.658,0.161,0.736,0.75,0,0,0,0
30701-5-11-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,12950.1096,2018,6,11,0.35483871,,1734.666667,0,,0,520.4,2.333333333,0,0,0,0,0,0,0,0
30701-5-12-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,12950.1096,2018,7,12,0.387096774,,1227.666667,882,,0.39191232,575.3636364,1.133723074,0.2,0,0.781,1,0.287,0.25,0.963,1
30701-5-13-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,12950.1096,2018,1,13,0.419354839,,1054.666667,1441.666667,,-0.268439306,624.0833333,0.689945253,0.737,0.242,0.878,0.75,0.768,0.75,0.928,0.75
30701-5-14-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,12950.1096,2018,2,14,0.451612903,,875.6666667,1734.666667,,-0.495196003,602.3846154,0.45366705,0.345,0,0.517,0.5,0.841,1,0.144,0
30701-5-15-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,12950.1096,2018,3,15,0.483870968,,807.3333333,1227.666667,,-0.342383926,625.0714286,0.291585724,0.017,0,0.1,0,0,0,0,0
30701-5-16-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,12950.1096,2018,4,16,0.516129032,,742.3333333,1054.666667,,-0.296144121,647.7333333,0.146047756,0.439,0,0.601,0,0,0,0,0
30701-5-17-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,12950.1096,2018,5,17,0.548387097,,773.6666667,875.6666667,,-0.11648268,634.5,0.219332808,0.505,0.312,0.49,0.5,0.693,0.75,0.249,0.25
30701-5-18-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,12950.1096,2018,6,18,0.580645161,,559.6666667,807.3333333,,-0.306771263,613.5294118,-0.087791627,0.68,0,0.668,0,0.927,1,0.009,0
30701-5-19-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,12950.1096,2018,7,19,0.612903226,,343.6666667,742.3333333,,-0.537045352,597.0555556,-0.424397506,0.668,0,0.69,0.25,0.729,0.25,0.143,0.25
30701-5-20-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,12950.1096,2018,1,20,0.64516129,,325.3333333,773.6666667,,-0.579491598,585.6842105,-0.444524323,0.553,0.319,0.579,0.75,0.71,0.75,0.353,0.25
30701-5-21-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,12950.1096,2018,2,21,0.677419355,,418,559.6666667,,-0.253126861,584.2,-0.284491612,0.204,0.188,0.561,0.75,0,0,0,0
30701-5-22-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,12950.1096,2018,3,22,0.709677419,,530.6666667,343.6666667,,0.544131911,587.5714286,-0.096847394,0.899,0,0.962,1,0.887,1,0.938,1
30701-5-23-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,12950.1096,2018,4,23,0.741935484,,547.3333333,325.3333333,,0.682377049,580.4545455,-0.05706082,0.891,0,0.915,1,0.937,1,0.176,1
30701-5-24-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,12950.1096,2018,5,24,0.774193548,,504.3333333,418,,0.206539075,573.7826087,-0.12103761,0.784,0.562,0.849,0.75,0,0,0,0
30701-5-25-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,12950.1096,2018,6,25,0.806451613,,507,530.6666667,,-0.04459799,577.5,-0.122077922,0.829,0.623,0.901,0.75,0.838,0.687,0.912,0.75
30701-5-26-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,12950.1096,2018,7,26,0.838709677,,540.3333333,547.3333333,,-0.012789281,575.64,-0.06133463,0.624,0.843,0.639,0.812,0.724,0.875,0.394,0.625
30701-5-27-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,12950.1096,2018,1,27,0.870967742,,522.6666667,504.3333333,,0.036351619,567.8846154,-0.07962524,0,0,0,0,0,0,0,0
30701-5-29-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,12950.1096,2018,3,29,0.935483871,,239.6666667,540.3333333,,-0.556446638,539.6428571,-0.555879109,0.605,0.786,0.482,0.562,0.683,0.937,0.256,0.187
30701-5-30-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,12950.1096,2018,4,30,0.967741935,,229,522.6666667,,-0.561862245,532.8275862,-0.570217448,0.871,0.804,0.841,0.812,0.846,0.625,0.231,0.812
30701-5-31-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,12950.1096,2018,5,31,1,,191,416.6666667,,-0.5416,522.7666667,-0.63463623,0,0,0,0,0,0,0,0
30739-5-8-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2017,2,8,0.258064516,,0,0,,0,0,0,0.895,0.736,0.942,1,0,0,0,0
30739-5-9-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2017,3,9,0.290322581,,326.3333333,0,,0,122.375,1.666666667,0.834,0.962,0.851,1,0.731,1,0.785,1
30739-5-10-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2017,4,10,0.322580645,,737.6666667,0,,0,245.8888889,2,0.681,0.176,0.731,0.6,0,0,0,0
30739-5-11-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2017,5,11,0.35483871,,1137.333333,0,,0,341.2,2.333333333,0.731,0.829,0.668,0.4,0.766,0.8,0.069,0.4
30739-5-12-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2017,6,12,0.387096774,,1049,326.3333333,,2.214504597,375.0909091,1.796655356,0.014,0,0.092,0.2,0,0,0,0
30739-5-13-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2017,7,13,0.419354839,,1111.666667,737.6666667,,0.507004067,462.3333333,1.404470079,0,0,0,0,0,0,0,0
30739-5-14-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2017,1,14,0.451612903,,1288,1137.333333,,0.132473623,559.6923077,1.301264431,0.183,0.225,0.247,0.312,0.21,0.25,0.675,0.75
30739-5-15-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2017,2,15,0.483870968,,1193.666667,1049,,0.13790912,550.5,1.16833182,0.792,0.362,0.84,0.562,0.774,0.437,0.9,0.937
30739-5-16-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2017,3,16,0.516129032,,932.6666667,1111.666667,,-0.16101949,556.4,0.676252097,0.17,0.198,0.133,0.125,0.287,0.25,0.229,0.062
30739-5-17-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2017,4,17,0.548387097,,1885,1288,,0.463509317,808.1875,1.332379553,0,0,0,0,0,0,0,0
30739-5-18-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2017,5,18,0.580645161,,2103.666667,1193.666667,,0.762356884,824.5882353,1.551172302,0.801,0.387,0.84,0.625,0.753,0.312,0.899,0.812
30739-5-19-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2017,6,19,0.612903226,,2280,932.6666667,,1.444603288,843.6666667,1.702489135,0,0,0,0,0,0,0,0
30739-5-20-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2017,7,20,0.64516129,,1087,1885,,-0.423342175,852.2105263,0.275506423,0.716,0.403,0.811,0.75,0,0,0,0
30739-5-21-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2017,1,21,0.677419355,,1523.333333,2103.666667,,-0.275867533,929.4,0.639050283,0,0,0,0,0,0,0,0
30739-5-22-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2017,2,22,0.709677419,,1438,2280,,-0.369298246,928.5714286,0.548615385,0.51,0.985,0.439,0.5,0.446,1,0.514,0.25
30739-5-23-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2017,3,23,0.741935484,,1440.666667,1087,,0.325360319,932.4545455,0.545026161,0.795,0.688,0.735,0.75,0.818,0.75,0.085,0.25
30739-5-24-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2017,4,24,0.774193548,,1165,1523.333333,,-0.235229759,960.1304348,0.213376806,0,0,0,0,0,0,0,0
30739-5-25-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2017,5,25,0.806451613,,1165.666667,1438,,-0.189383403,958.2083333,0.216506501,0,0,0,0,0,0,0,0
30739-5-26-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2017,6,26,0.838709677,,1060,1440.666667,,-0.264229523,947.76,0.118426606,0.714,0.9,0.779,0.937,0.667,0.875,0.629,0.625
30739-5-27-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2017,7,27,0.870967742,,800.6666667,1165,,-0.312732475,941.7307692,-0.14979239,0.895,0.885,0.844,0.812,0.907,0.937,0.106,0.125
30739-5-28-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2017,1,28,0.903225806,,1232.333333,1165.666667,,0.057191879,988.6666667,0.246459879,0.826,0.989,0.94,1,0.683,1,0.918,0.937
30739-5-30-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2017,3,30,0.967741935,,983.6666667,800.6666667,,0.228559534,946.0689655,0.039740973,0.879,0.87,0.828,0.875,0.851,0.75,0.186,0.437
30739-5-31-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2017,4,31,1,,463.6666667,1232.333333,,-0.623748986,936.1666667,-0.504717821,0,0,0,0,0,0,0,0
30739-5-8-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2018,3,8,0.258064516,,0,0,,0,0,0,0,0,0,0,0,0,0,0
30739-5-9-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2018,4,9,0.290322581,,450.6666667,0,,0,169,1.666666667,0,0,0,0,0,0,0,0
30739-5-10-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2018,5,10,0.322580645,,1049,0,,0,349.6666667,2,0.778,0.531,0.869,0.875,0,0,0,0
30739-5-11-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2018,6,11,0.35483871,,1562.333333,0,,0,468.7,2.333333333,0.449,0.489,0.666,0.75,0,0,0,0
30739-5-12-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2018,7,12,0.387096774,,1725.666667,450.6666667,,2.829142012,593.5454545,1.907387553,0.897,0.915,0.894,0.937,0.926,1,0.164,0.312
30739-5-13-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2018,1,13,0.419354839,,2140,1049,,1.040038132,797.25,1.68422703,0.605,0.773,0.555,0.687,0.627,0.812,0.444,0.562
30739-5-14-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2018,2,14,0.451612903,,1780,1562.333333,,0.139321528,771.3076923,1.307769024,0.892,0,0.914,1,0.809,0.562,0.946,1
30739-5-15-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2018,3,15,0.483870968,,1555,1725.666667,,-0.098898976,799.5714286,0.944791853,0,0,0,0,0,0,0,0
30739-5-16-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2018,4,16,0.516129032,,1026.666667,2140,,-0.520249221,843.1333333,0.217680082,0.678,0.279,0.755,0.5,0,0,0,0
30739-5-17-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2018,5,17,0.548387097,,1303.666667,1780,,-0.267602996,871.125,0.496532262,0,0,0,0,0,0,0,0
30739-5-18-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2018,6,18,0.580645161,,1262.333333,1555,,-0.188210075,881.2352941,0.432458892,0.357,0.483,0.39,0.5,0.288,0.25,0.617,1
30739-5-19-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2018,7,19,0.612903226,,1099,1026.666667,,0.070454545,885.7777778,0.240717511,0.025,0,0.154,0,0.156,0.333,0.418,0.333
30739-5-20-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2018,1,20,0.64516129,,1532,1303.666667,,0.175147021,975.4736842,0.570519046,0,0,0,0,0,0,0,0
30739-5-21-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2018,2,21,0.677419355,,1307.666667,1262.333333,,0.035912332,945.2,0.38348145,0.054,0.005,0.255,0,0.025,0,0.982,0.75
30739-5-22-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2018,3,22,0.709677419,,1295.666667,1099,,0.178950561,944.3333333,0.37204377,0.598,0.002,0.658,0,0.585,0,0.983,1
30739-5-23-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2018,4,23,0.741935484,,1632.666667,1532,,0.065709312,1065.090909,0.532889496,0.648,0,0.705,0,0.664,0,0.905,1
30739-5-24-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2018,5,24,0.774193548,,1848.666667,1307.666667,,0.413713994,1063.043478,0.739032038,0.502,0,0.607,0,0.415,0,0.765,0
30739-5-25-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2018,6,25,0.806451613,,1838,1295.666667,,0.418574736,1056.041667,0.74046163,0.814,0.473,0.861,0.5,0.791,0.5,0.901,0.5
30739-5-26-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2018,7,26,0.838709677,,982.6666667,1632.666667,,-0.398121682,1055.2,-0.068738944,0.631,0,0.779,0.5,0.66,1,0.767,0.5
30739-5-27-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2018,1,27,0.870967742,,945.3333333,1848.666667,,-0.488640462,1049.461538,-0.099220602,0.674,0.17,0.706,0.187,0.63,0.187,0.946,0.937
30739-5-29-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2018,3,29,0.935483871,,515,982.6666667,,-0.475915875,997.3214286,-0.483616831,0.23,0.292,0.698,0.933,0.145,0.133,0.969,1
30739-5-30-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2018,4,30,0.967741935,,445,945.3333333,,-0.529266573,986.9310345,-0.549107299,0,0,0,0,0,0,0,0
30739-5-31-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,4274.582621,2018,5,31,1,,885.6666667,860,,0.029844961,1019.4,-0.131188281,0.374,0.396,0.531,0.733,0.638,0.866,0.379,0.2
649284-5-8-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2017,2,8,0.258064516,,0,0,,0,0,0,0.697,0.198,0.707,0.312,0.847,0.75,0.041,0.125
649284-5-9-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2017,3,9,0.290322581,,620.6666667,0,,0,232.75,1.666666667,0,0,0,0,0,0,0,0
649284-5-10-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2017,4,10,0.322580645,,1237.666667,0,,0,412.5555556,2,0.436,0.09,0.644,0.312,0,0,0,0
649284-5-11-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2017,5,11,0.35483871,,1454.333333,0,,0,436.3,2.333333333,0,0,0,0,0,0,0,0
649284-5-12-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2017,6,12,0.387096774,,1398.333333,620.6666667,,1.252953813,550.6363636,1.539485994,0.15,0.04,0.201,0.058,0.089,0.058,0.868,0.764
649284-5-13-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2017,7,13,0.419354839,,1360,1237.666667,,0.098841907,649.4166667,1.094187091,0.223,0.117,0.471,0.235,0.316,0.411,0.739,0.588
649284-5-14-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2017,1,14,0.451612903,,2791.666667,1454.333333,,0.919550768,979.8461538,1.849086722,0.279,0.181,0.407,0.47,0.316,0.294,0.664,0.411
649284-5-15-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2017,2,15,0.483870968,,2453.333333,1398.333333,,0.754469607,958.3571429,1.559936399,0,0,0,0,0,0,0,0
649284-5-16-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2017,3,16,0.516129032,,2185.333333,1360,,0.606862745,956.6,1.284479755,0.873,0,0.934,1,0.81,1,0.966,1
649284-5-17-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2017,4,17,0.548387097,,1133.333333,2791.666667,,-0.594029851,1008.625,0.123641922,0.624,0,0.833,1,0.525,1,0.906,1
649284-5-18-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2017,5,18,0.580645161,,1321,2453.333333,,-0.461548913,1022.352941,0.292117376,0.853,0.855,0.822,0.5,0.927,1,0.05,0
649284-5-19-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2017,6,19,0.612903226,,1323,2185.333333,,-0.394600366,1017.666667,0.300032755,0.865,0,0.848,1,0.9,1,0.137,0
649284-5-20-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2017,7,20,0.64516129,,1252.333333,1133.333333,,0.105,1047.105263,0.195995644,0.615,0.869,0.424,0,0.559,0.5,0.327,0
649284-5-21-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2017,1,21,0.677419355,,1676.666667,1321,,0.269240474,1120.5,0.496355794,0.77,0,0.871,1,0.685,0.2,0.966,1
649284-5-22-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2017,2,22,0.709677419,,1746,1323,,0.319727891,1121.714286,0.556546103,0.015,0,0.094,0.4,0,0,0,0
649284-5-23-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2017,3,23,0.741935484,,1537,1252.333333,,0.227309023,1113.909091,0.379825349,0,0,0,0,0,0,0,0
649284-5-24-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2017,4,24,0.774193548,,1115.333333,1676.666667,,-0.334791252,1119.826087,-0.00401201,0.65,0.695,0.79,0.823,0.635,0.764,0.802,0.647
649284-5-25-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2017,5,25,0.806451613,,1029,1746,,-0.410652921,1110.125,-0.073077356,0,0,0,0,0,0,0,0
649284-5-26-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2017,6,26,0.838709677,,1121.333333,1537,,-0.270440252,1114.8,0.005860543,0.728,0.985,0.895,1,0.777,0.857,0.76,0.714
649284-5-27-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2017,7,27,0.870967742,,1137.333333,1115.333333,,0.019725045,1121.846154,0.013805083,0,0,0,0,0,0,0,0
649284-5-28-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2017,1,28,0.903225806,,1338,1029,,0.300291545,1135.444444,0.178393189,0,0,0,0,0,0,0,0
649284-5-30-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2017,3,30,0.967741935,,642,1137.333333,,-0.435521688,1072.206897,-0.401234965,0.381,0.369,0.374,0.352,0.484,0.47,0.366,0.411
649284-5-31-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2017,4,31,1,,451,1338,,-0.662929746,1067,-0.577319588,0.472,0.606,0.64,0.705,0.196,0.235,0.955,1
649284-5-8-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2018,3,8,0.258064516,,0,0,,0,0,0,0.836,0.359,0.877,0.47,0.914,0.647,0.151,0.235
649284-5-9-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2018,4,9,0.290322581,,531.3333333,0,,0,199.25,1.666666667,0,0,0,0,0,0,0,0
649284-5-10-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2018,5,10,0.322580645,,1020.666667,0,,0,340.2222222,2,0.857,0,0.651,1,0.666,1,0.767,1
649284-5-11-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2018,6,11,0.35483871,,1710.333333,0,,0,513.1,2.333333333,0.218,0,0.251,1,0.371,1,0.264,1
649284-5-12-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2018,7,12,0.387096774,,2027.666667,531.3333333,,2.816185696,697.9090909,1.90534497,0.765,0,0.583,1,0.69,1,0.009,1
649284-5-13-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2018,1,13,0.419354839,,2545.666667,1020.666667,,1.494121489,891.5833333,1.855220114,0,0,0,0,0,0,0,0
649284-5-14-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2018,2,14,0.451612903,,2397,1710.333333,,0.401481193,947.8461538,1.528891414,0.163,0,0.224,1,0.45,1,0.156,1
649284-5-15-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2018,3,15,0.483870968,,2101,2027.666667,,0.036166365,998.5714286,1.104005722,0.318,0,0.202,1,0.355,1,0.202,1
649284-5-16-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2018,4,16,0.516129032,,1471,2545.666667,,-0.422155297,1007.466667,0.460097935,0,0,0,0,0,0,0,0
649284-5-17-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2018,5,17,0.548387097,,1349,2397,,-0.437213183,1023.0625,0.318590018,0,0,0,0,0,0,0,0
649284-5-18-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2018,6,18,0.580645161,,1183.333333,2101,,-0.436776138,1031.176471,0.14755657,0,0,0,1,0,1,0,1
649284-5-19-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2018,7,19,0.612903226,,1320,1471,,-0.102651258,1059.555556,0.245805369,0,0,0,0,0,0,0,0
649284-5-20-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2018,1,20,0.64516129,,1679.666667,1349,,0.245119842,1126.736842,0.490735551,0,0,0,0,0,0,0,0
649284-5-21-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2018,2,21,0.677419355,,1800.333333,1183.333333,,0.521408451,1146.55,0.5702179,0.397,0.41,0.328,0.2,0.578,0.6,0.185,0
649284-5-22-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2018,3,22,0.709677419,,1682,1320,,0.274242424,1148.47619,0.464549299,0.789,0.595,0.844,1,0.831,0.6,0.249,0.8
649284-5-23-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2018,4,23,0.741935484,,1383,1679.666667,,-0.176622346,1161.681818,0.190515319,0.611,0.109,0.647,0.176,0.686,0.352,0.7,0.235
649284-5-24-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2018,5,24,0.774193548,,1368.666667,1800.333333,,-0.239770413,1175.521739,0.164305705,0.659,0.116,0.67,0.117,0.801,0.176,0.042,0.117
649284-5-25-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2018,6,25,0.806451613,,1399.666667,1682,,-0.167855727,1179.875,0.186283858,0.701,0.056,0.729,0.058,0.773,0.117,0.112,0.176
649284-5-26-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2018,7,26,0.838709677,,1585.333333,1383,,0.146300313,1212.52,0.307469842,0,0,0,0,0,0,0,0
649284-5-27-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2018,1,27,0.870967742,,1672.333333,1368.666667,,0.221870434,1232.846154,0.35648177,0,0,0,0,0,0,0,0
649284-5-29-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2018,3,29,0.935483871,,897.3333333,1585.333333,,-0.433978133,1178.75,-0.238741605,0.509,0.658,0.696,1,0,0,0,0
649284-5-30-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2018,4,30,0.967741935,,635.6666667,1672.333333,,-0.619892366,1171.068966,-0.457191092,0,0,0,0,0,0,0,0
649284-5-31-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,1606.646005,2018,5,31,1,,1532,1562.666667,,-0.019624573,1253.366667,0.222307917,0.651,0.21,0.692,0.333,0.702,0.444,0.786,0.444
