Locationid,Location,LocPropertyType,LocProvince,LocPostal,LocDistrict,LocRegion,RegionName,Market,PopulationRank,FundraisingYear,cy_funds,cy_1_funds,cy_2_funds,change,target,cy_checkins,cy_1_checkins,cy_2_checkins,cy_contacts,cy_1_contacts,cy_2_contacts,cy_images,cy_1_images,cy_2_images,cy_notes,cy_1_notes,cy_2_notes
130286,462,Buy More Supercenter,TX,77511,61,6,Central,Houston,3,2016,15110.9366,30522.32,41960.02,-0.504921756,0,4,0,0,1,0,0,3,0,0,1,0,0
130613,5113,Buy More Supercenter,AL,35125,10,14,Southeast,Birmingham,3,2016,16138.19,37139.55,41499.8,-0.565471579,0,0,0,0,0,0,0,0,0,0,0,0,0
128213,1872,Buy More Supercenter,MT,59601,383,60,West,Helena,1,2015,11657,11238.98,41261.6495,0.037193767,0,0,0,0,0,0,0,0,0,0,0,0,0
128779,2437,Buy More Supercenter,VA,20186,286,75,Northeast,"Washington, DC",3,2017,15429.1899,25526.9567,40737.49,-0.395572685,0,5,3,0,1,0,0,9,0,0,5,3,0
131288,613,Buy More Supercenter,FL,32174,94,9,Southeast,Orlando,2,2016,8040.6466,20745.68,40711.96,-0.612418267,0,1,0,0,0,0,0,2,0,0,0,0,0
128480,2116,Buy More Supercenter,NY,12804,187,18,Northeast,Albany-Schenectady-Troy,2,2015,5106.79,7386.88,40575.32,-0.308667529,0,0,0,0,0,0,0,0,0,0,0,0,0
129199,2891,Buy More Supercenter,TX,79763,73,44,Central,Odessa-Midland,1,2016,21694.5967,21216.02,40425.06,0.022557327,0,1,0,0,0,0,0,0,0,0,0,0,0
131411,6355,Member's Buy More,NC,28602,50,Southeast,Southeast,Charlotte,2,2017,12894.9898,45421.93,40418.61,-0.716106519,0,2,0,0,2,0,0,0,0,0,2,0,0
127873,1565,Buy More Supercenter,ND,58801,427,52,West,Fargo-Valley City,1,2016,42460.4,27157.99,40294.35,0.563458857,1,0,0,0,0,0,0,0,0,0,0,0,0
130428,483,Buy More Supercenter,AL,36066,8,14,Southeast,Birmingham,3,2017,8939.9798,27087.1667,40165.15,-0.669955153,0,5,2,0,0,1,0,0,0,0,0,1,0
130563,5060,Buy More Supercenter,IL,60102,270,25,Central,Chicago,3,2016,7793.3966,22436.56,39960.66,-0.652647438,0,2,0,0,1,0,0,0,0,0,2,0,0
